Hour,"Capacity, A*h","Capacity, %"
7855,5.5183,98.8305036177377
7856,5.5183,98.8305036177377
7857,5.5183,98.8305036177377
7858,5.5183,98.8305036177377
7859,5.5183,98.8305036177377
7860,5.5183,98.8305036177377
7861,5.5183,98.8305036177377
7862,5.5183,98.8305036177377
7863,5.5183,98.8305036177377
7864,5.5181,98.8269216992621
7865,5.5181,98.8269216992621
7866,5.5181,98.8269216992621
7867,5.5181,98.8269216992621
7868,5.5181,98.8269216992621
7869,5.5181,98.8269216992621
7870,5.5181,98.8269216992621
7871,5.5181,98.8269216992621
7872,5.5181,98.8269216992621
7873,5.5181,98.8269216992621
7874,5.5181,98.8269216992621
7875,5.5181,98.8269216992621
7876,5.5181,98.8269216992621
7877,5.5181,98.8269216992621
7878,5.5181,98.8269216992621
7879,5.5181,98.8269216992621
7880,5.5181,98.8269216992621
7881,5.5181,98.8269216992621
7882,5.5181,98.8269216992621
7883,5.5181,98.8269216992621
7884,5.5181,98.8269216992621
7885,5.5181,98.8269216992621
7886,5.5181,98.8269216992621
7887,5.5181,98.8269216992621
7888,5.5179,98.8233397807866
7889,5.5179,98.8233397807866
7890,5.5179,98.8233397807866
7891,5.5179,98.8233397807866
7892,5.5179,98.8233397807866
7893,5.5179,98.8233397807866
7894,5.5179,98.8233397807866
7895,5.5179,98.8233397807866
7896,5.5179,98.8233397807866
7897,5.5179,98.8233397807866
7898,5.5179,98.8233397807866
7899,5.5179,98.8233397807866
7900,5.5179,98.8233397807866
7901,5.5179,98.8233397807866
7902,5.5179,98.8233397807866
7903,5.5179,98.8233397807866
7904,5.5179,98.8233397807866
7905,5.5179,98.8233397807866
7906,5.5179,98.8233397807866
7907,5.5179,98.8233397807866
7908,5.5179,98.8233397807866
7909,5.5179,98.8233397807866
7910,5.5179,98.8233397807866
7911,5.5179,98.8233397807866
7912,5.5177,98.8197578623111
7913,5.5177,98.8197578623111
7914,5.5177,98.8197578623111
7915,5.5177,98.8197578623111
7916,5.5177,98.8197578623111
7917,5.5177,98.8197578623111
7918,5.5177,98.8197578623111
7919,5.5177,98.8197578623111
7920,5.5177,98.8197578623111
7921,5.5177,98.8197578623111
7922,5.5177,98.8197578623111
7923,5.5177,98.8197578623111
7924,5.5177,98.8197578623111
7925,5.5177,98.8197578623111
7926,5.5177,98.8197578623111
7927,5.5177,98.8197578623111
7928,5.5177,98.8197578623111
7929,5.5177,98.8197578623111
7930,5.5177,98.8197578623111
7931,5.5177,98.8197578623111
7932,5.5177,98.8197578623111
7933,5.5177,98.8197578623111
7934,5.5177,98.8197578623111
7935,5.5177,98.8197578623111
7936,5.5175,98.8161759438355
7937,5.5175,98.8161759438355
7938,5.5175,98.8161759438355
7939,5.5175,98.8161759438355
7940,5.5175,98.8161759438355
7941,5.5175,98.8161759438355
7942,5.5175,98.8161759438355
7943,5.5175,98.8161759438355
7944,5.5175,98.8161759438355
7945,5.5175,98.8161759438355
7946,5.5175,98.8161759438355
7947,5.5175,98.8161759438355
7948,5.5175,98.8161759438355
7949,5.5175,98.8161759438355
7950,5.5175,98.8161759438355
7951,5.5175,98.8161759438355
7952,5.5175,98.8161759438355
7953,5.5175,98.8161759438355
7954,5.5175,98.8161759438355
7955,5.5175,98.8161759438355
7956,5.5175,98.8161759438355
7957,5.5175,98.8161759438355
7958,5.5175,98.8161759438355
7959,5.5175,98.8161759438355
7960,5.5173,98.81259402536
7961,5.5173,98.81259402536
7962,5.5173,98.81259402536
7963,5.5173,98.81259402536
7964,5.5173,98.81259402536
7965,5.5173,98.81259402536
7966,5.5173,98.81259402536
7967,5.5173,98.81259402536
7968,5.5173,98.81259402536
7969,5.5173,98.81259402536
7970,5.5173,98.81259402536
7971,5.5173,98.81259402536
7972,5.5173,98.81259402536
7973,5.5173,98.81259402536
7974,5.5173,98.81259402536
7975,5.5173,98.81259402536
7976,5.5173,98.81259402536
7977,5.5173,98.81259402536
7978,5.5173,98.81259402536
7979,5.5173,98.81259402536
7980,5.5173,98.81259402536
7981,5.5173,98.81259402536
7982,5.5173,98.81259402536
7983,5.5173,98.81259402536
7984,5.5171,98.8090121068845
7985,5.5171,98.8090121068845
7986,5.5171,98.8090121068845
7987,5.5171,98.8090121068845
7988,5.5171,98.8090121068845
7989,5.5171,98.8090121068845
7990,5.5171,98.8090121068845
7991,5.5171,98.8090121068845
7992,5.5171,98.8090121068845
7993,5.5171,98.8090121068845
7994,5.5171,98.8090121068845
7995,5.5171,98.8090121068845
7996,5.5171,98.8090121068845
7997,5.5171,98.8090121068845
7998,5.5171,98.8090121068845
7999,5.5171,98.8090121068845
8000,5.5171,98.8090121068845
8001,5.5171,98.8090121068845
8002,5.5171,98.8090121068845
8003,5.5171,98.8090121068845
8004,5.5171,98.8090121068845
8005,5.5171,98.8090121068845
8006,5.5171,98.8090121068845
8007,5.5171,98.8090121068845
8008,5.5169,98.8054301884089
8009,5.5169,98.8054301884089
8010,5.5169,98.8054301884089
8011,5.5169,98.8054301884089
8012,5.5169,98.8054301884089
8013,5.5169,98.8054301884089
8014,5.5169,98.8054301884089
8015,5.5169,98.8054301884089
8016,5.5169,98.8054301884089
8017,5.5169,98.8054301884089
8018,5.5169,98.8054301884089
8019,5.5169,98.8054301884089
8020,5.5169,98.8054301884089
8021,5.5169,98.8054301884089
8022,5.5169,98.8054301884089
8023,5.5169,98.8054301884089
8024,5.5169,98.8054301884089
8025,5.5169,98.8054301884089
8026,5.5169,98.8054301884089
8027,5.5169,98.8054301884089
8028,5.5169,98.8054301884089
8029,5.5169,98.8054301884089
8030,5.5169,98.8054301884089
8031,5.5169,98.8054301884089
8032,5.5167,98.8018482699334
8033,5.5167,98.8018482699334
8034,5.5167,98.8018482699334
8035,5.5167,98.8018482699334
8036,5.5167,98.8018482699334
8037,5.5167,98.8018482699334
8038,5.5167,98.8018482699334
8039,5.5167,98.8018482699334
8040,5.5167,98.8018482699334
8041,5.5167,98.8018482699334
8042,5.5167,98.8018482699334
8043,5.5167,98.8018482699334
8044,5.5167,98.8018482699334
8045,5.5167,98.8018482699334
8046,5.5167,98.8018482699334
8047,5.5167,98.8018482699334
8048,5.5167,98.8018482699334
8049,5.5167,98.8018482699334
8050,5.5167,98.8018482699334
8051,5.5167,98.8018482699334
8052,5.5167,98.8018482699334
8053,5.5167,98.8018482699334
8054,5.5167,98.8018482699334
8055,5.5167,98.8018482699334
8056,5.5165,98.7982663514578
8057,5.5165,98.7982663514578
8058,5.5165,98.7982663514578
8059,5.5165,98.7982663514578
8060,5.5165,98.7982663514578
8061,5.5165,98.7982663514578
8062,5.5165,98.7982663514578
8063,5.5165,98.7982663514578
8064,5.5165,98.7982663514578
8065,5.5165,98.7982663514578
8066,5.5165,98.7982663514578
8067,5.5165,98.7982663514578
8068,5.5165,98.7982663514578
8069,5.5165,98.7982663514578
8070,5.5165,98.7982663514578
8071,5.5165,98.7982663514578
8072,5.5165,98.7982663514578
8073,5.5165,98.7982663514578
8074,5.5165,98.7982663514578
8075,5.5165,98.7982663514578
8076,5.5165,98.7982663514578
8077,5.5165,98.7982663514578
8078,5.5165,98.7982663514578
8079,5.5165,98.7982663514578
8080,5.5163,98.7946844329823
8081,5.5163,98.7946844329823
8082,5.5163,98.7946844329823
8083,5.5163,98.7946844329823
8084,5.5163,98.7946844329823
8085,5.5163,98.7946844329823
8086,5.5163,98.7946844329823
8087,5.5163,98.7946844329823
8088,5.5163,98.7946844329823
8089,5.5163,98.7946844329823
8090,5.5163,98.7946844329823
8091,5.5163,98.7946844329823
8092,5.5163,98.7946844329823
8093,5.5163,98.7946844329823
8094,5.5163,98.7946844329823
8095,5.5163,98.7946844329823
8096,5.5163,98.7946844329823
