t,Pcharge,Pdischarge
5401,5.878457263612388e-7,6.032272543587446
5402,5.878457281887101e-7,5.8477500455510665
5403,5.878457285720676e-7,5.8018258170471855
5404,5.878457282768836e-7,5.816755391820116
5405,5.878457253598448e-7,6.079988644794288
5406,5.878457215422261e-7,6.459097161024712
5407,5.878457099521844e-7,7.9845145838240885
5408,5.878457018964663e-7,9.357898626328772
5409,5.878457131452375e-7,7.1931739167640485
5410,5.878459497658179e-7,1.2577655648599544
5411,9.050501169044738,5.87845702506978e-7
5412,16.88450116904468,5.878456807739904e-7
5413,22.20300116904465,5.878456697855815e-7
5414,25.327501169044623,5.878456597905973e-7
5415,25.298001169044632,5.878456593866092e-7
5416,19.341001169044674,5.878456754724046e-7
5417,9.702501169044734,5.878456995904732e-7
5418,5.878458956873712e-7,1.5538734900505122
5419,5.878456982585169e-7,10.004485281248243
5420,5.878456893975812e-7,13.387276596860898
5421,5.878456966438421e-7,11.247269811866857
5422,5.878457049172142e-7,9.199256540574023
5423,5.878457131031067e-7,7.699640148786132
5424,5.87845721356466e-7,6.578888431406957
5425,5.878457263774959e-7,6.032202206752105
5426,5.878457282055114e-7,5.847701973367141
5427,5.878457285892829e-7,5.80180185138429
5428,5.878457282943967e-7,5.8167608395927095
5429,5.87845725377534e-7,6.080033586541882
5430,5.878457215599651e-7,6.459200537067304
5431,5.87845709969802e-7,7.9847600590665255
5432,5.878457019137279e-7,9.358367001627428
5433,5.87845713161889e-7,7.193567121953087
5434,5.878459497811663e-7,1.2577860896820654
5435,9.050501169044738,5.87845702527223e-7
5436,16.88450116904468,5.878456807945444e-7
5437,22.20300116904465,5.878456698055205e-7
5438,25.327501169044623,5.878456598086897e-7
5439,25.298001169044632,5.878456594016535e-7
5440,19.341001169044674,5.878456754834768e-7
5441,9.702501169044734,5.878456995978527e-7
5442,5.878458956920233e-7,1.5538792719640584
5443,5.87845698264484e-7,10.004437084183817
5444,5.878456894063064e-7,13.38694575092854
5445,5.878456966551648e-7,11.246974591768023
5446,5.87845704930431e-7,9.19903855134585
5447,5.878457131176829e-7,7.699487955540344
5448,5.878457213720145e-7,6.578787834034327
5449,5.878457263937569e-7,6.03213201242405
5450,5.878457282223156e-7,5.84765376154835
5451,5.878457286065038e-7,5.80177772496672
5452,5.878457283119092e-7,5.81676644603996
5453,5.878457253952224e-7,6.080078486581709
5454,5.878457215777061e-7,6.459303964308797
5455,5.878457099874222e-7,7.985005334506619
5456,5.878457019309913e-7,9.358835277647998
5457,5.878457131785425e-7,7.193960385794997
5458,5.878459497965149e-7,1.2578066065215319
5459,9.050501169044738,5.878457025474704e-7
5460,16.88450116904468,5.878456808150983e-7
5461,22.20300116904465,5.878456698254594e-7
5462,25.327501169044623,5.878456598267861e-7
5463,25.298001169044632,5.878456594167007e-7
5464,19.341001169044674,5.878456754945515e-7
5465,9.702501169044734,5.878456996052358e-7
5466,5.878458956966763e-7,1.5538850638481345
5467,5.878456982704534e-7,10.004389280273479
5468,5.87845689415032e-7,13.386614193961416
5469,5.878456966664884e-7,11.246679892972907
5470,5.878457049436535e-7,9.198820799575747
5471,5.878457131322596e-7,7.699335937197197
5472,5.878457213875638e-7,6.578687467668662
5473,5.878457264100184e-7,6.032061772786391
5474,5.878457282391251e-7,5.847605451503035
5475,5.878457286237262e-7,5.80175346667869
5476,5.878457283294267e-7,5.816771727334714
5477,5.878457254129131e-7,6.080123421049688
5478,5.878457215954488e-7,6.459407367067872
5479,5.878457100050431e-7,7.985250496381408
5480,5.878457019482586e-7,9.359303851084437
5481,5.87845713195199e-7,7.194353391975535
5482,5.878459498118663e-7,1.2578271323853298
5483,9.050501169044738,5.878457025677157e-7
